,tweets,id,language,len,date,source,likes,retweets,sentiment
31,UK's Prince Charles out of self-isolation after contracting coronavirus https://t.co/LAUP6khkTi https://t.co/IKKc5AP85o,1244647461672476672,en,119,2020-03-30 15:27:33,China Xinhua News,44,17,0.0
32,"Pompeo's words ""led us to lose will for dialogue."" 
DPRK slams U.S. Secretary of State Pompeo for seeking internati… https://t.co/ZXPbNklTzq",1244642873523372032,en,140,2020-03-30 15:09:20,China Xinhua News,35,13,0.0
33,"Germany tallies almost 57,300 confirmed #COVID19 cases, more than doubled in one week https://t.co/WqFV7kctty https://t.co/DfSLhQ8DGc",1244640899948142598,en,133,2020-03-30 15:01:29,China Xinhua News,38,17,0.45
34,China to give more support for businesses hit by #COVID19: Xi https://t.co/I97InH4myP https://t.co/rRD6NsZP2c,1244640106180276224,en,109,2020-03-30 14:58:20,China Xinhua News,58,17,0.5
35,A hospital designated for treating critically ill #COVID19 patients in Wuhan is closed as the number of hospitalize… https://t.co/eeaCNbcbIm,1244637867659292672,en,140,2020-03-30 14:49:26,China Xinhua News,67,22,-0.3
36,Namibia and African countries need to take a cue from China in fighting poverty especially among those in the rural… https://t.co/imlo7envD3,1244636825592815616,en,140,2020-03-30 14:45:18,China Xinhua News,57,5,0.0
37,"Update: Xi inspects east China county, talks with villagers and learns about the huge changes brought about by adva… https://t.co/LIVk8kkdhR",1244626030062473221,en,140,2020-03-30 14:02:24,China Xinhua News,90,26,0.4000000000000001
38,#BREAKING: A Vincent van Gogh painting was stolen overnight from a Dutch museum closed due to the coronavirus epide… https://t.co/QdikBCZkUl,1244625265877114881,en,140,2020-03-30 13:59:22,China Xinhua News,71,129,-0.1125
39,The Hong Kong Monetary Authority  said no significant outflows from Hong Kong dollar or banking system were observe… https://t.co/cwLw10EcOM,1244619960812318720,en,140,2020-03-30 13:38:17,China Xinhua News,37,10,-0.1875
40,Kenya's Health Ministry embarked on mass testing for all those persons who arrived in the country last week and are… https://t.co/sLgXdknJGp,1244619154541260801,en,140,2020-03-30 13:35:05,China Xinhua News,21,7,0.0
41,"At least 13,500 Zimbabweans have returned home from South Africa, raising fears that new #COVID19 infections could… https://t.co/080hahx9MH",1244619012543098881,en,139,2020-03-30 13:34:31,China Xinhua News,26,10,-0.08181818181818182
42,Three men sentenced to imprisonment ranging from 10 days to 3 months for breaching compulsory quarantine regulation… https://t.co/3cfmWW2dtB,1244618807034793984,en,140,2020-03-30 13:33:42,China Xinhua News,22,12,0.0
43,"#Coronavirus watch update, March 30: https://t.co/41Yg5lOlWM 
- Tokyo Olympics to open on July 23, 2021
- Spain's C… https://t.co/TSokZLHQnt",1244618147467907072,en,140,2020-03-30 13:31:04,China Xinhua News,23,11,0.0
44,"Recent signing of TAIPEI Act into law is a clear sign of Washington bullying Beijing, said an int'l relations exper… https://t.co/6bzdsKRkE3",1244617328353927169,en,140,2020-03-30 13:27:49,China Xinhua News,38,15,0.05000000000000001
45,Xi inspects the county of Anji in east China's Zhejiang Province https://t.co/ousXxS0tks https://t.co/ufq7ByWzAC,1244617013344911360,en,112,2020-03-30 13:26:34,China Xinhua News,130,16,0.0
46,Canadian man Hayes Christopher Hugh came back to Shanghai with his family from Thailand on March 4. The Hughs need… https://t.co/dKKZojLknK,1244613716580040704,en,139,2020-03-30 13:13:28,China Xinhua News,52,16,0.0
47,Click for the splendid view of the Hukou Waterfall in north China's Shanxi Province. The scenic spot reopened to th… https://t.co/GlNAjQXc1u,1244612970832777217,en,140,2020-03-30 13:10:30,China Xinhua News,54,15,0.8333333333333334
48,"Check out how robots, drones and other high-tech equipment are making it easier to work on a farm in China. https://t.co/ySnk1IIEqz",1244612824745136128,en,131,2020-03-30 13:09:55,China Xinhua News,177,60,0.0175
49,Many students in the final year of senior and junior high schools return to school amid strict preventive measures… https://t.co/8wgCBqa8KX,1244609665649897473,en,139,2020-03-30 12:57:22,China Xinhua News,55,17,0.22
