,tweets,id,language,len,date,source,likes,retweets,sentiment
32,"RT @WhiteHouse: “This great ship behind me is a 70,000-ton message of hope and solidarity to the incredible people of New York.” — Presiden…",1244299266715201541,en,140,2020-03-29 16:23:57,Twitter for iPhone,0,7412,0.3590909090909091
33,RT @GOPChairwoman: Great advice for America’s children! https://t.co/FoWYoIBnnp,1244299228974850056,en,79,2020-03-29 16:23:48,Twitter for iPhone,0,4576,0.8
34,"RT @IngrahamAngle: Smart that @realDonaldTrump looked at the data, accurate projections, and nixed the horrid idea of a federal quarantine…",1244299067406123009,en,139,2020-03-29 16:23:10,Twitter for iPhone,0,7527,0.30714285714285716
35,"RT @GOPChairwoman: Pelosi can't get away with rewriting history.

In January, Democrats were all-consumed with a bogus impeachment.

What w…",1244298745757433856,en,140,2020-03-29 16:21:53,Twitter for iPhone,0,16140,0.0
36,"Hope the FDA can approve Mask Sterilization equipment ASAP. As per Governor @MikeDeWine, there is a company in Ohio… https://t.co/QZMzXpDsa4",1244296475254968320,en,140,2020-03-29 16:12:52,Twitter for iPhone,55288,12913,0.0
37,"“With the Tax Cuts and new Trade Deals, we were set for a tremendous growth rate this year.... and then the Virus c… https://t.co/z7AJ5dQSEq",1244295140837122048,en,140,2020-03-29 16:07:34,Twitter for iPhone,78182,16353,0.23484848484848483
38,"RT @Battelle: Coronavirus In Ohio: @Battelle Pioneers Technology To Clean And Reuse PPE | @WOSU Radio
https://t.co/qE1SFhofW4",1244281588193648642,en,125,2020-03-29 15:13:42,Twitter for iPhone,0,4026,0.3666666666666667
39,Highly recommended by Governor @MikeDeWine of Ohio. @FDA must move quickly! https://t.co/pLpI4CSs9H,1244281520065576961,en,99,2020-03-29 15:13:26,Twitter for iPhone,44722,15826,0.24666666666666665
40,RT @VaticanNews: #PopeFrancis delivers an extraordinary blessing “To the City and to the World” to pray for an end to the Covid-19 #coronav…,1244275266127564805,en,140,2020-03-29 14:48:35,Twitter for iPhone,0,4984,0.3333333333333333
41,RT @GovRonDeSantis: The firing of Andrew McCabe is a rare example of someone being held accountable in Washington.  I hope the IG issues hi…,1244271736432050178,en,140,2020-03-29 14:34:34,Twitter for iPhone,0,7079,0.3
42,RT @Jrock41S: @freep Albom's softball interview with Whitmer this past Friday (AM 760 WJR) was horrific.  Wasn't sure what was more disturb…,1244270450114428930,en,140,2020-03-29 14:29:27,Twitter for iPhone,0,3865,-0.0625
